"Table 203.20. Enrollment in public elementary and secondary schools, by region, state, and jurisdiction: Selected years, fall 1990 through fall 2028",,,,,,,,,,,,,,,,,,,,,
"Region, state, and jurisdiction",Actual total enrollment,,,,,,,,,,,,,"Percent change in total enroll-ment, 2011 to 2016",Projected enrollment,,,,,,"Percent change in total enroll-ment, 2016 to 2028"
,Fall 1990,Fall 2000,Fall 2006,Fall 2007,Fall 2008,Fall 2009,Fall 2010,Fall 2011,Fall 2012,Fall 2013,Fall 2014,Fall 2015\1\,Fall 2016\2\,,Fall 2017,Fall 2018,Fall 2019,Fall 2020,Fall 2021,Fall 2028,
  Indiana ..........................,"954,525","989,267","1,045,940","1,046,764","1,046,147","1,046,661","1,047,232","1,040,765","1,041,369","1,047,385","1,046,269","1,046,757","1,049,547",0.8,"1,048,000","1,046,500","1,042,900","1,042,400","1,042,900","1,057,300",0.7
,, , , , , ,,,,,,,,,,,,,,,
  Iowa ............................,"483,652","495,080","483,122","485,115","487,559","491,842","495,775","495,870","499,825","502,964","505,311","508,014","509,831",2.8,"511,700","514,000","516,700","519,500","521,500","535,400",5.0
  Kansas ...........................,"437,034","470,610","469,506","468,295","471,060","474,489","483,701","486,108","489,043","496,440","497,275","495,884","494,347",1.7,"494,100","493,500","493,000","492,600","491,800","490,600",-0.8
  Kentucky .........................,"636,401","665,850","683,152","666,225","670,030","680,089","673,128","681,987","685,167","677,389","688,640","686,598","684,017",0.3,"682,400","680,000","678,100","677,200","676,200","682,200",-0.3
  Louisiana .......................,"784,757","743,089","675,851","681,038","684,873","690,915","696,558","703,390","710,903","711,491","716,800","718,711","716,293",1.8,"715,900","713,100","711,200","711,300","711,700","718,400",0.3
  Maine ...........................,"215,149","207,037","193,986","196,245","192,935","189,225","189,077","188,969","185,739","183,995","182,470","181,613","180,512",-4.5,"179,100","177,900","176,700","175,900","175,100","171,600",-5.0
,, , , , , ,,,,,,,,,,,,,,,
  Maryland ........................,"715,176","852,920","851,640","845,700","843,861","848,412","852,211","854,086","859,638","866,169","874,514","879,601","886,221",3.8,"893,500","898,900","904,700","909,000","911,900","914,100",3.1
  Massachusetts ...................,"834,314","975,150","968,661","962,958","958,910","957,053","955,563","953,369","954,773","955,739","955,844","964,026","964,514",1.2,"963,300","961,000","958,200","955,500","952,000","939,400",-2.6
  Michigan .....................,"1,584,431","1,720,626","1,722,656","1,692,739","1,659,921","1,649,082","1,587,067","1,573,537","1,555,370","1,548,841","1,537,922","1,536,231","1,528,666",-2.9,"1,511,400","1,493,500","1,478,300","1,465,100","1,451,500","1,400,700",-8.4
  Minnesota ......................,"756,374","854,340","840,565","837,578","836,048","837,053","838,037","839,738","845,404","850,973","857,235","864,384","875,021",4.2,"885,000","891,100","896,300","902,900","907,100","924,000",5.6
  Mississippi .....................,"502,417","497,871","495,026","494,122","491,962","492,481","490,526","490,619","493,650","492,586","490,917","487,200","483,150",-1.5,"478,600","473,400","469,000","465,400","462,400","441,600",-8.6
,, , , , , ,,,,,,,,,,,,,,,
  Missouri ........................,"816,558","912,744","920,353","917,188","917,871","917,982","918,710","916,584","917,900","918,288","917,785","919,234","915,040",-0.2,"914,300","912,600","911,300","911,300","910,700","915,100",#
  Montana ........................,"152,974","154,875","144,418","142,823","141,899","141,807","141,693","142,349","142,908","144,129","144,532","145,319","146,375",2.8,"147,400","149,000","150,400","151,700","152,900","160,600",9.7
  Nebraska ........................,"274,081","286,199","287,580","291,244","292,590","295,368","298,500","301,296","303,505","307,677","312,635","316,014","319,194",5.9,"323,300","326,100","328,800","331,100","332,700","344,900",8.1
  Nevada ..........................,"201,316","340,706","424,766","429,362","433,371","428,947","437,149","439,634","445,707","451,831","459,189","467,527","473,744",7.8,"479,300","485,400","490,900","496,000","501,000","527,800",11.4
  New Hampshire ..................,"172,785","208,461","203,572","200,772","197,934","197,140","194,711","191,900","188,974","186,310","184,670","182,425","180,888",-5.7,"178,600","176,300","174,200","172,000","170,000","161,000",-11.0
,, , , , , ,,,,,,,,,,,,,,,
  New Jersey .......................,"1,089,646","1,313,405","1,388,850","1,382,348","1,381,420","1,396,029","1,402,548","1,356,431","1,372,203","1,370,295","1,400,579","1,408,845","1,410,421",4.0,"1,405,600","1,400,900","1,397,100","1,394,100","1,388,200","1,356,200",-3.8
  New Mexico ......................,"301,881","320,306","328,220","329,040","330,245","334,419","338,122","337,225","338,220","339,244","340,365","335,694","336,263",-0.3,"334,900","332,500","330,100","327,200","324,500","306,100",-9.0
  New York ........................,"2,598,337","2,882,188","2,809,649","2,765,435","2,740,592","2,766,052","2,734,955","2,704,718","2,710,703","2,732,770","2,741,185","2,711,626","2,729,776",0.9,"2,723,500","2,715,500","2,710,400","2,708,900","2,703,300","2,649,700",-2.9
  North Carolina .................,"1,086,871","1,293,638","1,444,481","1,489,492","1,488,645","1,483,397","1,490,605","1,507,864","1,518,465","1,530,857","1,548,895","1,544,934","1,550,062",2.8,"1,554,200","1,554,500","1,555,100","1,559,300","1,563,300","1,612,600",4.0
  North Dakota ....................,"117,825","109,201","96,670","95,059","94,728","95,073","96,323","97,646","101,111","103,947","106,586","108,644","109,706",12.4,"108,700","110,700","112,600","114,600","116,400","127,400",16.1
,, , , , , ,,,,,,,,,,,,,,,
  Ohio .............................,"1,771,089","1,835,049","1,836,722","1,827,184","1,817,163","1,764,297","1,754,191","1,740,030","1,729,916","1,724,111","1,724,810","1,716,585","1,710,143",-1.7,"1,695,900","1,686,500","1,676,400","1,669,000","1,661,500","1,637,400",-4.3
  Oklahoma ........................,"579,087","623,110","639,391","642,065","645,108","654,802","659,911","666,120","673,483","681,848","688,511","692,878","693,903",4.2,"697,000","698,400","700,100","702,100","703,400","721,600",4.0
  Oregon ...........................,"472,394","546,231","562,574","565,586","575,393","582,839","570,720","568,208","587,564","593,000","601,318","608,825","606,277",6.7,"609,800","613,600","617,600","622,600","626,500","650,600",7.3
  Pennsylvania .......................,"1,667,834","1,814,311","1,871,060","1,801,971","1,775,029","1,785,993","1,793,284","1,771,395","1,763,677","1,755,236","1,743,160","1,717,414","1,727,497",-2.5,"1,721,000","1,715,200","1,712,300","1,712,000","1,709,400","1,698,600",-1.7
  Rhode Island .....................,"138,813","157,347","151,612","147,629","145,342","145,118","143,793","142,854","142,481","142,008","141,959","142,014","142,150",-0.5,"142,200","142,100","141,300","140,400","139,500","135,700",-4.5
,, , , , , ,,,,,,,,,,,,,,,
  South Carolina ...................,"622,112","677,411","708,021","712,317","718,113","723,143","725,838","727,186","735,998","745,657","756,523","763,533","771,250",6.1,"776,700","781,600","786,900","792,700","798,300","822,000",6.6
  South Dakota ....................,"129,164","128,603","121,158","121,606","126,429","123,713","126,128","128,016","130,471","130,890","133,040","134,253","136,302",6.5,"137,600","139,100","140,800","142,400","143,900","151,000",10.8
  Tennessee .....................,"824,595","909,161","978,368","964,259","971,950","972,549","987,422","999,693","993,496","993,556","995,475","1,001,235","1,001,562",0.2,"1,002,200","1,001,300","1,002,000","1,004,700","1,007,600","1,044,400",4.3
  Texas ..........................,"3,382,887","4,059,619","4,599,509","4,674,832","4,752,148","4,850,210","4,935,715","5,000,470","5,077,659","5,153,702","5,233,765","5,301,477","5,360,849",7.2,"5,414,700","5,462,600","5,506,400","5,549,800","5,587,800","5,861,300",9.3
  Utah ...........................,"446,652","481,485","523,386","576,244","559,778","571,586","585,552","598,832","613,279","625,461","635,577","647,870","659,801",10.2,"667,400","674,600","681,600","688,000","693,000","732,400",11.0
,, , , , , ,,,,,,,,,,,,,,,
  Vermont .........................,"95,762","102,049","95,399","94,038","93,625","91,451","96,858","89,908","89,624","88,690","87,311","87,866","88,428",-1.6,"86,700","85,900","85,100","84,500","83,800","80,400",-9.0
  Virginia .........................,"998,601","1,144,915","1,220,440","1,230,857","1,235,795","1,245,340","1,251,440","1,257,883","1,265,419","1,273,825","1,280,381","1,283,590","1,287,026",2.3,"1,290,400","1,291,200","1,292,100","1,293,600","1,295,100","1,316,200",2.3
  Washington .......................,"839,709","1,004,770","1,026,774","1,030,247","1,037,018","1,035,347","1,043,788","1,045,453","1,051,694","1,058,936","1,073,638","1,087,030","1,101,711",5.4,"1,115,200","1,128,400","1,141,700","1,157,300","1,171,600","1,253,600",13.8
  West Virginia ....................,"322,389","286,367","281,939","282,535","282,729","282,662","282,879","282,870","283,044","280,958","280,310","277,452","273,855",-3.2,"271,000","267,500","264,500","261,500","258,900","249,500",-8.9
  Wisconsin ......................,"797,621","879,476","876,700","874,633","873,750","872,436","872,286","871,105","872,436","874,414","871,432","867,800","864,432",-0.8,"860,700","856,900","853,700","851,800","848,900","837,900",-3.1
  Wyoming .........................,"98,226","89,940","85,193","86,422","87,161","88,155","89,009","90,099","91,533","92,732","94,067","94,717","94,170",4.5,"93,700","93,500","93,300","93,200","92,900","92,800",-1.4
,,,,,,,,,,,,,,,,,,,,,
Jurisdiction,,,,,,,,,,,,,,,,,,,,,
"  Bureau of Indian
     Education .......",---,"46,938",---,---,"40,927","41,351","41,962",---,---,---,---,---,"45,399",---,---,---,---,---,---,---,---
  DoDEA\3\ .........................,---,"107,755","87,522","84,795","84,781",---,---,---,---,---,---,"74,970",---,---,---,---,---,---,---,---,---
  Other jurisdictions,, , , , , , , , , , , , ,,,,,,,,
    American Samoa ...................,"12,463","15,702","16,400",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
    Guam ...........................,"26,391","32,473",---,---,---,---,"31,618","31,243","31,186","33,414","31,144","30,821","30,758",-1.6,---,---,---,---,---,---,---
    Northern Marianas ..,"6,449","10,004","11,695","11,299","10,913","10,961","11,105","11,011","10,646","10,638",---,---,---,---,---,---,---,---,---,---,---
    Puerto Rico .....................,"644,734","612,725","544,138","526,565","503,635","493,393","473,735","452,740","434,609","423,934","410,950","379,818","365,181",-19.3,---,---,---,---,---,---,---
    U.S. Virgin Islands ,"21,750","19,459","16,284","15,903","15,768","15,493","15,495","15,711","15,192","14,953","14,241","13,805","13,194",-16.0,---,---,---,---,---,---,---
---Not available.  ,,,,,,,,,,,,,,,,,,,,,
#Rounds to zero.,,,,,,,,,,,,,,,,,,,,,
\1\Includes imputations for prekindergarten enrollment in California and Oregon.,,,,,,,,,,,,,,,,,,,,,
\2\Includes imputations for prekindergarten enrollment in California.,,,,,,,,,,,,,,,,,,,,,
\3\DoDEA = Department of Defense Education Activity. Includes both domestic and overseas schools.,,,,,,,,,,,,,,,,,,,,,
NOTE: Detail may not sum to totals because of rounding. Some data have been revised from previously published figures.  ,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Common Core of Data (CCD), ""State Nonfiscal Survey of Public Elementary/Secondary Education,"" 1990-91 through 2016-17; and State Public Elementary and Secondary Enrollment Projection Model, 1980 through 2028. (This table was prepared March 2019.)",,,,,,,,,,,,,,,,,,,,,
